"Pathway","N","Up","Down","P.Up","P.Down"
"Hippo signaling pathway",154,28,3,0.00231270102159965,0.983248248893995
"Ubiquitin mediated proteolysis",138,25,10,0.00403985722908514,0.142943622200558
"RNA transport",155,15,15,0.653730906970359,0.00958081462311559
"RNA degradation",75,6,9,0.804615357611504,0.0111376915975459
"Thermogenesis",221,18,19,0.890296899996416,0.0131639504648321
"Arachidonic acid metabolism",51,11,4,0.0141168551715199,0.241725969408629
"TNF signaling pathway",107,14,11,0.219109563704777,0.0162272711279864
"Arginine and proline metabolism",47,3,6,0.87938898508518,0.0268834039810558
"Transcriptional misregulation i...",163,25,8,0.0304874136529049,0.554472112627667
"Metabolism of xenobiotics by cy...",52,10,2,0.0393297700557497,0.732882633165076
"RIG-I-like receptor signaling p...",52,4,6,0.802898967800725,0.0415498121257208
"Huntington disease",292,40,17,0.0422356335677182,0.27211259745041
"Viral protein interaction with ...",82,9,8,0.483703403615691,0.0483849170144579
"Axon guidance",175,20,14,0.360800066308409,0.0506094426144877
"Basal cell carcinoma",62,11,2,0.0529799563110576,0.816334351844513
"Ras signaling pathway",209,27,16,0.138543811151288,0.0537232163406066
"Porphyrin and chlorophyll metab...",27,6,1,0.0549110054952545,0.744306328118615
"mRNA surveillance pathway",85,10,8,0.388992722763259,0.0576056447142266
"Starch and sucrose metabolism",31,4,4,0.404750303515375,0.0639357532635339
"Inositol phosphate metabolism",72,12,2,0.0666583960210111,0.875658234437659
"Phosphatidylinositol signaling ...",96,15,4,0.0703601765702515,0.70175132115795
"Arginine biosynthesis",20,1,3,0.888683155983873,0.0726220310995786
"Glycerophospholipid metabolism",90,14,1,0.0808044212145464,0.989473818429092
"Alanine, aspartate and glutamat...",34,5,4,0.275443109112452,0.0841139248860761
"Oxidative phosphorylation",128,14,10,0.461708793436745,0.0999888035794981
"Non-alcoholic fatty liver disea...",145,17,11,0.336663875355735,0.102237972563316
"Pyrimidine metabolism",54,9,1,0.103144376362992,0.93475446224383
"Regulation of lipolysis in adip...",51,2,5,0.974449455665018,0.10479898387712
"Hedgehog signaling pathway",47,8,3,0.109467868885693,0.409670433198887
"Neuroactive ligand-receptor int...",250,27,17,0.445993169060386,0.111610106895323
"Necroptosis",128,18,7,0.113737881692515,0.443148802194127
"Adherens junction",71,11,1,0.11502733738153,0.972418583155339
"Ferroptosis",38,1,4,0.984599595624116,0.115200851913307
