"ENSEMBL","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000239713","60489","APOBEC3G","apolipoprotein B mRNA editing enzyme catalytic subunit 3G",1.84448038469986,3.08703200507762,8.4019186649972,1.56816191434043e-09,2.02283731937202e-05,11.7937962831824
"ENSG00000223865","3115","HLA-DPB1","major histocompatibility complex, class II, DP beta 1",2.01290565114151,6.3795057379593,8.38954282858158,1.61982488738951e-09,2.02283731937202e-05,11.8026361218024
"ENSG00000136040","10154","PLXNC1","plexin C1",1.76589318554233,3.96139669603095,8.03397690956334,4.14484680647395e-09,3.45072312794978e-05,10.8983983725215
"ENSG00000228037","100996583","LOC100996583","uncharacterized LOC100996583",2.35637012116474,-1.13478482365119,7.79136461585252,7.94033625058494e-09,4.74624336116623e-05,9.29539494122865
"ENSG00000177699","100129540","LOC100129540","uncharacterized LOC100129540",4.25521032284233,-4.60734683601535,7.63105960027297,1.22483884114922e-08,4.74624336116623e-05,6.56499300628966
"ENSG00000238113","103352539","LINC01410","long intergenic non-protein coding RNA 1410",2.15801591290915,1.91612562121159,7.60382640858197,1.31883016362094e-08,4.74624336116623e-05,9.69123366882992
"ENSG00000142347","4542","MYO1F","myosin IF",2.19900519228183,4.51723626725432,7.60065964899906,1.33022515727753e-08,4.74624336116623e-05,9.76624160032651
"ENSG00000167525","147011","PROCA1","protein interacting with cyclin A1",1.88170564416297,1.58569646410182,7.44064583616341,2.05765402943918e-08,5.78196762855481e-05,9.2159914092144
"ENSG00000169896","3684","ITGAM","integrin subunit alpha M",1.89387433425717,3.22064478253544,7.42954689129239,2.12109466253744e-08,5.78196762855481e-05,9.31500485236101
"ENSG00000213654","63940","GPSM3","G protein signaling modulator 3",2.28784325520125,4.28354564196074,7.36375675282935,2.54012562990087e-08,5.78196762855481e-05,9.14034227610528
"ENSG00000204282","100131096","TNRC6C-AS1","TNRC6C antisense RNA 1",2.58017603498533,3.56726540388187,7.36284187347838,2.54651040655441e-08,5.78196762855481e-05,9.1428227009544
"ENSG00000177721","389289","ANXA2R","annexin A2 receptor",1.88854970572943,2.24797812124706,7.32802619548697,2.80198124583558e-08,5.83185696633246e-05,9.0012723532171
"ENSG00000160219","139716","GAB3","GRB2 associated binding protein 3",0.900648836786528,4.51284252662141,7.27388883692282,3.25194169792871e-08,5.98700571153202e-05,8.88591562518987
"ENSG00000132274","10346","TRIM22","tripartite motif containing 22",1.7534995798386,6.21428518346792,7.26017932549213,3.37709705789334e-08,5.98700571153202e-05,8.81633190841558
"ENSG00000205744","79958","DENND1C","DENN domain containing 1C",2.40507125074789,4.33757801679116,7.2374302341037,3.59565525596494e-08,5.98700571153202e-05,8.80000480614383
"ENSG00000213809","22914","KLRK1","killer cell lectin like receptor K1",2.63654507076256,3.4479773405479,7.20764528084048,3.90366399503886e-08,6.09361949625567e-05,8.73093026835011
"ENSG00000168071","283234","CCDC88B","coiled-coil domain containing 88B",2.88367567438196,5.07435226835353,7.1820052139482,4.19018057325229e-08,6.15611470573819e-05,8.63647151014769
"ENSG00000141480","409","ARRB2","arrestin beta 2",1.38723393338203,4.9912445790147,7.13612604714642,4.75718188525535e-08,6.60085415367432e-05,8.50407774080472
"ENSG00000111913","9750","RIPOR2","RHO family interacting cell polarization regulator 2",2.70610189610047,3.98944808134197,7.08538936789468,5.47538334728761e-08,7.19753549904502e-05,8.40169591223231
"ENSG00000258181",NA,NA,NA,4.13756010247684,-3.74824698316568,7.03147312197908,6.35965284092889e-08,7.941934467752e-05,5.73229714089231
"ENSG00000075884","55843","ARHGAP15","Rho GTPase activating protein 15",1.81434410531341,3.35025382028392,7.01201409998156,6.71322685726025e-08,7.98426447556819e-05,8.20915081140098
"ENSG00000068831","10235","RASGRP2","RAS guanyl releasing protein 2",2.99082519856162,5.07033696887424,6.95378569661034,7.89487009753404e-08,8.64285400318908e-05,8.02042083186833
"ENSG00000155090","7071","KLF10","Kruppel like factor 10",-1.11560282532977,5.89459615176572,-6.94085754425806,8.18462145200744e-08,8.64285400318908e-05,7.94631885536326
"ENSG00000072818","9744","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",2.85047209572794,4.78145794668651,6.92590749503404,8.53314917028635e-08,8.64285400318908e-05,7.94875776643535
"ENSG00000231389","3113","HLA-DPA1","major histocompatibility complex, class II, DP alpha 1",1.84960672527609,6.90232955192782,6.92098527416075,8.65115911594038e-08,8.64285400318908e-05,7.88687105381556
