"ENSEMBL","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000133863","56154","TEX15","testis expressed 15, meiosis and synapsis associated",-2.83859565369276,-4.55424740056037,-4.84972116981026,3.21604633869556e-05,0.803239733552603,-4.46668197382534
"ENSG00000113303","79908","BTNL8","butyrophilin like 8",-1.53754898834556,-0.042958391045725,-4.231173982117,0.000187903804949682,0.999849312069525,-4.15047941979813
"ENSG00000125966","10893","MMP24","matrix metallopeptidase 24",0.934804471172968,1.28861863294128,4.20603495408683,0.000201719984989012,0.999849312069525,-3.97527970883478
"ENSG00000078596","9452","ITM2A","integral membrane protein 2A",-0.670708249162622,6.22056582485541,-4.12936923703622,0.000250320547094787,0.999849312069525,-2.80072402558481
"ENSG00000167434","762","CA4","carbonic anhydrase 4",-1.25083897371869,5.21315509058289,-3.79309464479856,0.000638329435352243,0.999849312069525,-3.12123959323323
"ENSG00000243232","56134","PCDHAC2","protocadherin alpha subfamily C, 2",1.61804680036659,-1.08144798947632,3.76136918164795,0.00069654363102313,0.999849312069525,-4.33207825299322
"ENSG00000058085","3918","LAMC2","laminin subunit gamma 2",0.60374093245634,5.23891195936924,3.74153102621632,0.000735538142240656,0.999849312069525,-3.17927496785816
"ENSG00000251664","56137","PCDHA12","protocadherin alpha 12",1.09014716584853,-1.17766273778513,3.69711287625795,0.000830703731449767,0.999849312069525,-4.32869101966789
"ENSG00000127951","10875","FGL2","fibrinogen like 2",-0.960240209319213,5.91471597341675,-3.68639822794013,0.000855392919290424,0.999849312069525,-3.12750949394179
"ENSG00000079385","634","CEACAM1","CEA cell adhesion molecule 1",-0.948551833480782,3.06340015263317,-3.67684297080006,0.000878010731559454,0.999849312069525,-3.74998298748358
"ENSG00000184292","4070","TACSTD2","tumor associated calcium signal transducer 2",1.48589560087689,3.27550168039322,3.65209703795222,0.00093931846145904,0.999849312069525,-3.75886850239179
