"ENSEMBL","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000139190","6843","VAMP1","vesicle associated membrane protein 1",1.13313179164671,6.33852541393459,8.16281775978247,2.94344512671782e-09,5.00586203655719e-05,11.1961842779834
"ENSG00000238113","103352539","LINC01410","long intergenic non-protein coding RNA 1410",2.36338056361885,1.91612562121159,8.01816740321534,4.3232535856158e-09,5.00586203655719e-05,10.7531938692068
"ENSG00000160219","139716","GAB3","GRB2 associated binding protein 3",1.000152574133,4.51284252662141,7.89480982941118,6.01280673833743e-09,5.00586203655719e-05,10.5276004113502
"ENSG00000223865","3115","HLA-DPB1","major histocompatibility complex, class II, DP beta 1",1.83818078856946,6.3795057379593,7.65129026583393,1.15944451452478e-08,7.23957154869274e-05,9.84431963624233
"ENSG00000205744","79958","DENND1C","DENN domain containing 1C",2.53725720147588,4.33757801679116,7.40837333132958,2.24768322895483e-08,9.45670796857182e-05,9.25094475825369
"ENSG00000239713","60489","APOBEC3G","apolipoprotein B mRNA editing enzyme catalytic subunit 3G",1.6171056591192,3.08703200507762,7.4044785417294,2.27179083165563e-08,9.45670796857182e-05,9.25316162762829
"ENSG00000228037","100996583","LOC100996583","uncharacterized LOC100996583",2.17626825446042,-1.13478482365119,7.2367757885842,3.60215078515852e-08,0.000128524740014456,8.21750939182524
"ENSG00000204282","100131096","TNRC6C-AS1","TNRC6C antisense RNA 1",2.51402156727168,3.56726540388187,7.11844734700135,4.99590170670884e-08,0.000132184730954272,8.48918596227588
"ENSG00000169896","3684","ITGAM","integrin subunit alpha M",1.8204724955954,3.22064478253544,7.11314109875487,5.0698963293952e-08,0.000132184730954272,8.47822112432945
"ENSG00000168071","283234","CCDC88B","coiled-coil domain containing 88B",2.89266387360029,5.07435226835353,7.09764084416034,5.29247000937988e-08,0.000132184730954272,8.39093160626373
"ENSG00000043462","3937","LCP2","lymphocyte cytosolic protein 2",2.07304048456048,4.21417464715139,7.04153999568786,6.18420191725236e-08,0.00013772721850782,8.26478212693944
"ENSG00000154237","79705","LRRK1","leucine rich repeat kinase 1",1.57584280123392,4.57626085229903,7.01719111480348,6.61725905707017e-08,0.00013772721850782,8.18127842833477
"ENSG00000072818","9744","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",2.92959779794043,4.78145794668651,6.93617557271572,8.29219262081564e-08,0.000144969935100057,7.96369011516572
"ENSG00000122043",NA,NA,NA,3.86486875623198,-4.96428305071801,6.91177079896783,8.87653749777151e-08,0.000144969935100057,5.53893780442513
"ENSG00000213654","63940","GPSM3","G protein signaling modulator 3",2.13794423871912,4.28354564196074,6.89554811212012,9.28788151038661e-08,0.000144969935100057,7.85977263704
"ENSG00000104894","951","CD37","CD37 molecule",3.5613189612744,4.31038672296109,6.87582432889766,9.81410110888534e-08,0.000144969935100057,7.82310506001836
"ENSG00000179583","4261","CIITA","class II major histocompatibility complex transactivator",2.42106720795587,5.07129343736155,6.85497260943079,1.04032951339229e-07,0.000144969935100057,7.72287946216683
"ENSG00000213809","22914","KLRK1","killer cell lectin like receptor K1",2.5270764354368,3.4479773405479,6.84859833526801,1.05904614292303e-07,0.000144969935100057,7.76379673182724
"ENSG00000113231","8622","PDE8B","phosphodiesterase 8B",-1.36190691542745,7.82843860273932,-6.82611111428126,1.12784034026659e-07,0.000144969935100057,7.58951925301455
"ENSG00000246627","100652846","CACNA1C-AS1","CACNA1C antisense RNA 1",2.42843488466941,-1.23467995450859,6.81580207196249,1.16087391976343e-07,0.000144969935100057,7.09583422860043
"ENSG00000177699","100129540","LOC100129540","uncharacterized LOC100129540",3.67231376405116,-4.60734683601535,6.77734429519871,1.29298749365335e-07,0.000153779312578505,5.5609875308459
"ENSG00000142347","4542","MYO1F","myosin IF",1.9224638385427,4.51723626725432,6.74671885609324,1.40900774143635e-07,0.000155828790717948,7.43718331941674
"ENSG00000123329","64333","ARHGAP9","Rho GTPase activating protein 9",3.07547036739146,4.43654647015725,6.73834734285609,1.44251775675347e-07,0.000155828790717948,7.43718303397636
"ENSG00000069424","8514","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2",1.83802788713177,4.84200769195344,6.71365085546212,1.5461479840244e-07,0.000155828790717948,7.33392737989292
"ENSG00000206337","10866","HCP5","HLA complex P5",1.7641132631196,4.83709366047457,6.67599924964354,1.71882871038519e-07,0.000155828790717948,7.22986630627571
